Identifier,Strain,Country,154,424,577,580,802,960,1644,1955,2059,2163b,2165,2347,2401,2461,2531,2687,2996,3007,3171,3192,3690,4052,4156,4348,INH,SM,EMB,RMP,PZA
8078/03,M. tuberculosis,LAM,1,3,2,2,4,4,3,3,2,2,2,4,1,2,6,1,5,3,3,2,2,6,2,2,s,s,s,s,s
8163/02,M. africanum,West African 2,2,4,5,2,2,7,4,4,2,5,6,3,4,4,4,2,4,3,3,5,4,6,3,2,s,s,s,s,s
8217/02,M. bovis,Bovis,2,2,5,3,2,2,3,3,2,3,4,3,4,5,4,2,4,3,3,3,2,3,1,2,?,?,?,?,?
8236/02,M. africanum,West African 2,2,3,5,2,2,4,4,4,2,5,6,3,4,1,4,2,4,3,3,6,4,6,3,2,s,s,s,s,s
8260/01,M. tuberculosis,Delhi/CAS,2,4,2,2,3,5,4,4,2,2,4,4,2,2,4,1,8,3,3,4,3,8,4,3,s,r,s,s,s
8303/02,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,5,4,3,4,2,4,2,4,3,3,2,3,2,3,2,s,s,s,s,s
8319/99,M. caprae,Caprae,2,2,5,3,2,7,3,3,2,5,4,3,4,3,4,2,4,3,2,5,1,3,3,2,?,?,?,?,?
8431/03,M. tuberculosis,URAL,2,2,4,2,2,10,2,5,2,2,4,4,4,2,5,1,1,3,3,2,3,8,3,2,s,s,s,s,s
8490/00,M. bovis,Bovis,2,2,5,4,2,2,4,3,2,4,4,3,4,3,4,1,3,3,3,3,2,5,1,2,s,s,s,s,r
8522/00,M. caprae,Caprae,2,3,4,4,2,6,4,1,2,5,5,3,4,3,4,3,2,3,2,5,1,2,2,2,s,s,s,s,s
8577/03,M. tuberculosis,URAL,2,3,5,2,3,7,2,3,2,2,4,4,4,2,5,1,1,3,3,2,3,6,3,2,s,s,s,s,s
8583/04,M. tuberculosis,S,3,3,4,3,2,3,3,1,2,5,4,4,2,2,5,1,3,4,3,2,3,7,2,2,?,?,?,?,?
8668/99,M. microti,llama,2,3,5,5,2,5,4,3,1,9,9,3,2,3,4,2,2,2,3,1,2,9,3,2,?,?,?,?,?
8750/03,M. tuberculosis,Haarlem,2,2,4,2,2,6,3,3,2,4,2,4,4,2,5,1,5,3,3,3,3,5,3,2,s,s,s,s,s
8753/00,M. microti,llama,2,3,5,6,2,5,6,3,1,9,9,3,4,3,4,2,2,2,3,1,2,9,3,3,s,s,s,s,s
8870/03,M. tuberculosis,NEW-1,2,2,4,2,3,2,2,5,2,2,3,4,2,1,5,1,4,3,2,3,3,7,2,2,r,r,s,s,s
8885/03,M. tuberculosis,LAM,2,4,4,2,1,3,2,3,2,3,2,4,1,1,6,1,4,1,5,3,2,8,2,2,s,s,s,s,s
8915/03,M. tuberculosis,EAI,2,1,4,5,2,4,3,10,2,8,4,3,2,6,6,2,2,3,3,4,2,7,1,3,s,s,s,s,s
8986/99,M. caprae,Caprae,2,3,6,4,2,6,3,1,2,4,5,3,4,3,4,2,5,3,2,4,1,2,2,2,s,s,s,s,s
9062/01,M. caprae,Caprae,2,2,3,3,2,4,3,2,2,5,4,3,4,3,3,2,4,3,2,5,1,3,3,2,s,s,s,s,s
9267/01,M. tuberculosis,EAI,2,1,4,5,2,4,3,10,2,9,4,3,2,6,6,2,2,3,3,4,2,7,1,3,?,?,?,?,?
9398/01,M. tuberculosis,Delhi/CAS,2,5,2,2,3,5,4,4,2,2,4,4,2,2,6,1,7,3,3,5,2,8,4,2,s,s,s,s,s
9400/02,M. tuberculosis,Haarlem,2,2,3,2,4,5,3,3,2,6,3,2,4,2,4,1,5,3,3,3,3,7,3,2,?,?,?,?,?
946/03,M. tuberculosis,LAM,2,1,4,2,1,3,1,3,2,2,2,5,1,2,6,1,5,3,3,3,3,4,2,2,s,s,s,s,s
947/01,M. tuberculosis,EAI,2,2,4,4,2,4,3,4,2,8,10,3,2,4,7,2,2,1,3,6,4,6,1,3,s,s,s,s,s
